iter	Logloss
0	0.631827349
1	0.5795356968
2	0.5392308262
3	0.4998148019
4	0.4646760777
5	0.4366387939
6	0.4134587751
7	0.3873458426
8	0.3657006836
9	0.3478428214
10	0.3329752895
11	0.3203472028
12	0.3072170585
13	0.296287384
14	0.2865005711
15	0.2774003165
16	0.2701904297
17	0.2619850159
18	0.2553850882
19	0.2497288295
20	0.2449655151
21	0.2406161063
22	0.2366064889
23	0.2321177891
24	0.2291428702
25	0.2275708008
26	0.2253007507
27	0.2227072798
28	0.2199382237
29	0.2176577323
30	0.2159539359
31	0.213352247
32	0.2118647548
33	0.2103074428
34	0.2087085397
35	0.2061380441
36	0.2050320871
37	0.2040938023
38	0.2029552569
39	0.2013399833
40	0.2000358364
41	0.1987171282
42	0.1980784607
43	0.1967362322
44	0.1957897513
45	0.1945200893
46	0.1939085606
47	0.1934754726
48	0.1925851004
49	0.1916258894
50	0.1909935652
51	0.1903620039
52	0.1901919992
53	0.1896834891
54	0.1887034607
55	0.188044281
56	0.1874556623
57	0.1870334516
58	0.1858658273
59	0.1850788661
60	0.1844330924
61	0.1838626317
62	0.183117763
63	0.1829263306
64	0.1821975272
65	0.1812472752
66	0.1806540571
67	0.1804716165
68	0.1794287545
69	0.1788350568
70	0.178034559
71	0.1774028233
72	0.1771318817
73	0.1767505537
74	0.1765503693
75	0.1759393093
76	0.1752216884
77	0.1746898542
78	0.1737662288
79	0.1735749272
80	0.1729181126
81	0.1726830837
82	0.1725039237
83	0.1722716195
84	0.1719485365
85	0.1714233616
86	0.1711852918
87	0.1707332611
88	0.17052354
89	0.1703924888
90	0.1702809143
91	0.1698589543
92	0.1688793945
93	0.1687266541
94	0.1686243003
95	0.1685164315
96	0.1683103398
97	0.1679361834
98	0.1677850451
99	0.1667927551
