iter	Passed	Remaining
0	46	4612
1	47	2309
2	47	1540
3	48	1154
4	48	925
5	49	770
6	49	659
7	49	574
8	50	508
9	50	456
10	51	413
11	51	378
12	52	348
13	52	323
14	53	300
15	53	281
16	54	264
17	54	248
18	55	234
19	55	222
20	56	210
21	56	200
22	56	190
23	57	181
24	57	173
25	58	165
26	58	158
27	58	151
28	59	145
29	59	139
30	60	134
31	60	129
32	61	124
33	61	120
34	62	115
35	62	111
36	63	107
37	63	104
38	64	100
39	64	97
40	65	94
41	65	90
42	66	87
43	66	85
44	67	82
45	67	79
46	68	76
47	68	74
48	69	71
49	69	69
50	70	67
51	70	65
52	70	62
53	71	60
54	71	58
55	72	56
56	72	54
57	73	53
58	73	51
59	74	49
60	74	47
61	75	46
62	75	44
63	76	42
64	76	41
65	77	39
66	77	38
67	78	36
68	78	35
69	79	33
70	79	32
71	80	31
72	80	29
73	81	28
74	81	27
75	82	25
76	82	24
77	83	23
78	83	22
79	84	21
80	84	19
81	85	18
82	85	17
83	86	16
84	86	15
85	87	14
86	87	13
87	88	12
88	88	10
89	89	9
90	89	8
91	90	7
92	90	6
93	91	5
94	91	4
95	91	3
96	92	2
97	92	1
98	93	0
99	93	0
